TIPO DE NEGOCIO,MGA,NEW VENTURE,COMENTARIOS,REGLA_ESTANDARIZADA
DRIVERS DE OTROS ESTADOS,MAXIMUM,APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRIVERS DE OTROS ESTADOS,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
DRIVERS DE OTROS ESTADOS,SGA,APLICA - APP,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRIVERS DE OTROS ESTADOS,STAR MUTUAL,NO APLICA,"Registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES
DRIVERS DE OTROS ESTADOS,GREAT WEST,APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
DRIVERS DE OTROS ESTADOS,COVER BADGER,APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD",CUSTOM_RULE
DRIVERS DE OTROS ESTADOS,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRIVERS CON MENOS DE 2 AÑOS,PROGRESSIVE,APLICA,-,
DRIVERS CON MENOS DE 2 AÑOS,ROCKLAKE,NO APLICA,"1+ año en el negocio, MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA|BUSINESS_YEARS_1+
DRIVERS CON MENOS DE 2 AÑOS,GSIAY,NO APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica), tendrá un sobrecargo del 10%.",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K|SURCHARGE_10%
DRIVERS CON MENOS DE 2 AÑOS,JENCAP,NO APLICA," Solo con NICO, MVR, CDL con 1 año de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_1|MVR|PERDIDAS_SI_APLICA|SOLO_NICO
DRIVERS CON MENOS DE 2 AÑOS,XPT,NO APLICA,Solo con NICO,SOLO_NICO
DRIVERS CON MENOS DE 2 AÑOS,GEICO,APLICA,-,
DRIVERS CON MENOS DE 2 AÑOS,STAR MUTUAL,NO APLICA,"1+ año en el negocio, CDL demostrando 1 año cumplido.",CDL_REQUIRED|BUSINESS_YEARS_1+
DRIVERS CON MENOS DE 2 AÑOS,AMWINS,NO APLICA,Solo con NICO,SOLO_NICO
DRIVERS CON MENOS DE 2 AÑOS,MAXIMUM,NO APLICA,"Solo DUAL, documentos correspondientes.",COVERAGE_DUAL
MOBILE HOME,PROGRESSIVE,APLICA,-,
MOBILE HOME,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
MOBILE HOME,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
MOBILE HOME,JENCAP,APLICA," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
MOBILE HOME,AMWINS,NO APLICA,Para negocios de más de 5 años se requiere min 5 años de pérdidas.,PERDIDAS_5_AÑOS
LOGGING EXPOSURE,PARAMOUNT,APP - Preguntas,"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|NV_SPECIAL_REQUIREMENTS|APP_DILIGENCIADA|OWNER_MIN_30_YEARS|INDUSTRY_EXP_3+
LOGGING EXPOSURE,PROGRESSIVE,APLICA,-,
LOGGING EXPOSURE,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
LOGGING EXPOSURE,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
LOGGING EXPOSURE,BERKSHIRE,APLICA,Acepta ir al bosque,ACEPTA_BOSQUE
LOGGING EXPOSURE,GEICO,APLICA,-,
LOGGING EXPOSURE,SGA,APLICA - APP,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
LOGGING EXPOSURE,GREAT WEST,NO APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
GARBAGE & TRASH,PROGRESSIVE,APLICA,-,
GARBAGE & TRASH,JENCAP,APP,"No ir al botadero, solo con NICO  MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|SOLO_NICO|NO_BOTADERO
GARBAGE & TRASH,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL (No residencial).",CDL_REQUIRED|MVR|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
GARBAGE & TRASH,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
GARBAGE & TRASH,GEICO,APLICA,-,
GARBAGE & TRASH,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
GARBAGE & TRASH,AMWINS,APLICA,"No ir al botadero, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|NO_BOTADERO
GARBAGE & TRASH,INVO,APP,"Puede ir al vertedero, CDL con 2 años de experiencia demostrable, MVR, Pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|ACEPTA_VERTEDERO
GARBAGE & TRASH,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
SCRAP METAL,PROGRESSIVE,APLICA,-,
SCRAP METAL,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
SCRAP METAL,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
SCRAP METAL,JENCAP,APP," Solo con NICO, MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|SOLO_NICO
SCRAP METAL,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
SCRAP METAL,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
SCRAP METAL,GEICO,APLICA,-,
SCRAP METAL,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
SCRAP METAL,AMWINS,APLICA,"No ir al botadero, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|NO_BOTADERO
DRY VAN / REEFER,PROGRESSIVE,APLICA,-,
DRY VAN / REEFER,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
DRY VAN / REEFER,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
DRY VAN / REEFER,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
DRY VAN / REEFER,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA
DRY VAN / REEFER,GSIAY,APP,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
DRY VAN / REEFER,GEICO,APLICA,-,
DRY VAN / REEFER,ONE80,NO APLICA,"5+ unidades - Si tiene 2+ años, es posible enviar 1-2 unidades",MIN_UNITS_5
DRY VAN / REEFER,MAXIMUM,APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRY VAN / REEFER,AMWINS,APP,"NV solo con NICO y Canal test drive, resto de compañías 2+ años en el negocio, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|BUSINESS_YEARS_2+|SOLO_NICO|NV_SOLO_NICO|COMPANY_CANAL|TEST_DRIVE
DRY VAN / REEFER,PARAMOUNT,APP - Preguntas,"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|NV_SPECIAL_REQUIREMENTS|APP_DILIGENCIADA|OWNER_MIN_30_YEARS|INDUSTRY_EXP_3+
DRY VAN / REEFER,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
DRY VAN / REEFER,LSR,APLICA,"Min 5 unidades, 2+ años en el negocio",BUSINESS_YEARS_2+|MIN_UNITS_5
DRY VAN / REEFER,STAR MUTUAL,NO APLICA,"registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES
DRY VAN / REEFER,GREAT WEST,APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
DRY VAN / REEFER,AONE,APP,3+ años en el negocio NO REEFER,BUSINESS_YEARS_3+|NO_REEFER
DRY VAN / REEFER,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
DRY VAN / REEFER,SGA,APLICA - APP,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRY VAN / REEFER,COVER BADGER,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
DRY VAN / REEFER,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
RESIDENTIAL MOVERS,PROGRESSIVE,APLICA,-,
RESIDENTIAL MOVERS,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
RESIDENTIAL MOVERS,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
RESIDENTIAL MOVERS,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
RESIDENTIAL MOVERS,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
RESIDENTIAL MOVERS,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
RESIDENTIAL MOVERS,GEICO,APLICA,No MTC,NO_MTC
AUTO HAULER,PROGRESSIVE,APLICA,-,
AUTO HAULER,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
AUTO HAULER,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
AUTO HAULER,XPT,APLICA - APP,"Preguntas Auto Hauler, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|IFTAS_SI_APLICA|PREGUNTAS_AUTO_HAULER
AUTO HAULER,GSIAY,NO APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
AUTO HAULER,GEICO,APLICA,-,
AUTO HAULER,AMWINS,NO APLICA,Para negocios de más de 5 años se requiere min 5 años de pérdidas.,PERDIDAS_5_AÑOS
AUTO HAULER,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
AUTO HAULER,STAR MUTUAL,NO APLICA,"1+ año en el negocio, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES|BUSINESS_YEARS_1+
AUTO HAULER,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
AUTO HAULER,SGA,APLICA - APP,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
AUTO HAULER,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
AUTO HAULER,COVER BADGER,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
AUTO HAULER,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
UIIA,XPT,APP,"FORM 5C, CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA|FORM_5C
UIIA,AMWINS,NO APLICA,Para negocios de más de 5 años se requiere min 5 años de pérdidas.,PERDIDAS_5_AÑOS
UIIA,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
UIIA,PARAMOUNT,APP - Preguntas,"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas para UIIA,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|NV_SPECIAL_REQUIREMENTS|APP_DILIGENCIADA|PREGUNTAS_UIIA|OWNER_MIN_30_YEARS|INDUSTRY_EXP_3+
UIIA,STAR MUTUAL,NO APLICA,"1+ año en el negocio, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES|BUSINESS_YEARS_1+
UIIA,GREAT WEST,APLICA,Para AL necesita el contrato.,CONTRATO_REQUIRED
UIIA,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
UIIA,COVER BADGER,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
UIIA,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
CEMENT & CONCRETE,PROGRESSIVE,APLICA,-,
CEMENT & CONCRETE,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
CEMENT & CONCRETE,ROCKLAKE,NO APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
CEMENT & CONCRETE,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
CEMENT & CONCRETE,SGA,APLICA - APP,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
CEMENT & CONCRETE,XPT,APP,"Solo con NICO, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|SOLO_NICO
CEMENT & CONCRETE,GSIAY,NO APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
CEMENT & CONCRETE,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
CEMENT & CONCRETE,GEICO,APLICA,-,
CEMENT & CONCRETE,MAXIMUM,NO APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
CEMENT & CONCRETE,AMWINS,NO APLICA,"Solo con NICO, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|SOLO_NICO
CEMENT & CONCRETE,PARAMOUNT,APP - Preguntas,En sacos (Dry Van),TRAILER_DRY_VAN
CEMENT & CONCRETE,GREAT WEST,NO APLICA,En sacos (Dry Van) no mixer +2 años en el negocio.,BUSINESS_YEARS_2+|TRAILER_DRY_VAN
CEMENT & CONCRETE,LSR,NO APLICA,"Min 5 unidades, 2+ años en el negocio",BUSINESS_YEARS_2+|MIN_UNITS_5
AGRICULTURAL,PROGRESSIVE,APLICA,-,
AGRICULTURAL,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
AGRICULTURAL,ROCKLAKE,NO APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
AGRICULTURAL,XPT,APP,"Si no son fertilizantes, CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA|NO_FERTILIZANTES
AGRICULTURAL,GSIAY,NO APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
AGRICULTURAL,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
AGRICULTURAL,GEICO,APLICA,-,
AGRICULTURAL,MAXIMUM,NO APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
AGRICULTURAL,AMWINS,NO APLICA,"Si no son fertilizantes, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|NO_FERTILIZANTES
AGRICULTURAL,PARAMOUNT,APP - Preguntas,Si no son fertilizantes,NO_FERTILIZANTES
AGRICULTURAL,JENCAP,APP,"Si no son fertilizantes,  MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|NO_FERTILIZANTES
AGRICULTURAL,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
AGRICULTURAL,GREAT WEST,NO APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
AGRICULTURAL,STAR MUTUAL,NO APLICA,"Registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES
AGRICULTURAL,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
AGRICULTURAL,COVER BADGER,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
AGRICULTURAL,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
HOUSEHOLD GOODS,PROGRESSIVE,APLICA,-,
HOUSEHOLD GOODS,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
HOUSEHOLD GOODS,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
HOUSEHOLD GOODS,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
HOUSEHOLD GOODS,GEICO,APLICA,-,
HOUSEHOLD GOODS,AMWINS,NO APLICA,Para negocios de más de 5 años se requiere min 5 años de pérdidas.,PERDIDAS_5_AÑOS
FRAC SAND,PROGRESSIVE,APLICA,-,
FRAC SAND,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
FRAC SAND,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
FRAC SAND,XPT,APP,"No dump, CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA|NO_DUMP
FRAC SAND,GSIAY,APLICA,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
FRAC SAND,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
FRAC SAND,GEICO,APLICA,-,
FRAC SAND,PARAMOUNT,APP - Preguntas,"Con foto de cómo la lleva, CDL demostrando dos años de experiencia, MVR, pérdidas (Si aplica) solo en lowboy, pneumatic, hopper bottom y sand box.",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA
FRAC SAND,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica) (Lowboy o End dump).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|TRAILER_LOWBOY|TRAILER_ENDDUMP
FRAC SAND,STAR MUTUAL,NO APLICA,"Solo Sandbox trailer, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES|TRAILER_SANDBOX
FRAC SAND,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
FRAC SAND,SGA,APLICA - APP,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
FRAC SAND,INVO,APLICA,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
FRAC SAND,GREAT WEST,NO APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
OILFIELD EQUIPMENT,PROGRESSIVE,APLICA,-,
OILFIELD EQUIPMENT,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
OILFIELD EQUIPMENT,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
