TIPO DE NEGOCIO,MGA,NEW VENTURE,COMENTARIOS,REGLA_ESTANDARIZADA
"DIRT, SAND & GRAVEL",STAR MUTUAL,NO APLICA,"Solo Truck+Trailer + 2 años de exp, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES|SOLO_TRUCK_TRAILER
"DIRT, SAND & GRAVEL",GREAT WEST,NO APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
"DIRT, SAND & GRAVEL",INVO,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
"DIRT, SAND & GRAVEL",NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
"DIRT, SAND & GRAVEL",SGA,APLICA,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
"DIRT, SAND & GRAVEL",COVER BADGER,NO APLICA,"1+ año en el negocio, CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|BUSINESS_YEARS_1+
"DIRT, SAND & GRAVEL",COVER WHALE,NO APLICA,"1+ año en el negocio, CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|BUSINESS_YEARS_1+
FLATBED,PROGRESSIVE,APLICA,-,
FLATBED,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
FLATBED,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
FLATBED,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
FLATBED,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA
FLATBED,GSIAY,APP,"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K
FLATBED,GEICO,APLICA,-,
FLATBED,ONE80,NO APLICA,"5+ unidades - Si tiene 2+ años, es posible enviar 1-2 unidades",MIN_UNITS_5
FLATBED,MAXIMUM,APLICA,"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
FLATBED,AMWINS,APLICA,"NV solo con NICO y Canal test drive, resto de compañías 2+ años en el negocio, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|BUSINESS_YEARS_2+|SOLO_NICO|NV_SOLO_NICO|COMPANY_CANAL|TEST_DRIVE
FLATBED,PARAMOUNT,APP - Preguntas,"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|NV_SPECIAL_REQUIREMENTS|APP_DILIGENCIADA|OWNER_MIN_30_YEARS|INDUSTRY_EXP_3+
FLATBED,SGA,APLICA - APP,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
FLATBED,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
FLATBED,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
FLATBED,LSR,APP,"Min 5 unidades, 2+ años en el negocio",BUSINESS_YEARS_2+|MIN_UNITS_5
FLATBED,STAR MUTUAL,NO APLICA,"1+ año en el negocio con póliza activa, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",CDL_YEARS_2|PERDIDAS_SI_APLICA|REGISTRACIONES|BUSINESS_YEARS_1+|POLIZA_ACTIVA
FLATBED,GREAT WEST,APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
FLATBED,AONE,APP,3+ años en el negocio,BUSINESS_YEARS_3+
FLATBED,COVER BADGER,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
FLATBED,COVER WHALE,APLICA,"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
CARGO VAN,PROGRESSIVE,APLICA,-,
